ID Jemaat	Nama Jemaat	Keterangan	Latitude	Longitude	ID Mupel	Nama KMJ	Nomor Telepon	Jumlah Sektor	Jumlah KK	Jumlah Jiwa
01-03-FM	FILADELFIA	Medan	3,628374	98,68124	M - 01					
01-01-AP	ANUGERAH	Pangkalan Brandan Langkat	4,009436	98,271437	M - 01	Pdt. Vanezza Albertina Siahaya	+62 812 1941 1525	1		
01-02-BA	BANDA ACEH	Banda Aceh	5,561853	95,321528	M - 01					
01-13-ET	EFATA	Tanjung Morawa Deli Serdang	3,529504	98,763193	M - 01					
01-04-IM	IMMANUEL	Medan	3,580835	98,672912	M - 01					
01-05-KM	KASIH KARUNIA	Medan	3,598869	98,645135	M - 01					
01-06-MP	MARANATHA	Pematang Siantar	2,951288	99,058993	M - 01	Pdt. Julianus Yermias Kaimarehe	+62 813 5143 6663	3	232	1017
01-12-MP	MITRA PARSINGGURAN NAULI	Parsingguran Humbang Hasundutan	2,358746	98,761573	M - 01					
01-07-PS	PATMOS	Sabang	5,890835	95,32439	M - 01					
01-14-PB	PAULUS	Binjai	3,603771	98,529029	M - 01					
01-08-PT	PNIEL	Kampung Kolam Deli Serdang	3,641808	98,772717	M - 01					
01-09-SS	SILOAM	Sibolga	1,726787	98,803367	M - 01					
01-11-SB	SYALOOM	Bangun Purba Deli Serdang	3,370235	98,810718	M - 01					
01-10-YB	YOPPE	Belawan Medan	3,781508	98,687132	M - 01					
01-15-MD	MADUMA	Medan	3,537209	98,637378	M - 01					
01-16-PB	PIR BESITANG	Pangkalan Brandan	3,946670461	98,17212729	M - 01					
04-10-IP	IMMANUEL	Pekanbaru	0,513196	101,449802	M - 04	Abraham Ferdinandus	+62 812 8879 2585	10	675	2440
04-01-AS	ANUGERAH	Sorek Pelalawan	0,13803	102,069382	M - 04					
04-04-BZ	BUKIT ZAITUN	Duri Bengkalis	1,254966	101,21468	M - 04	Pdt. Margaretha Dolf-Pelealu	+62 813 6632 8883	3		
04-05-ET	EFFATA	Pasaman	0,030084	99,829576	M - 04					
04-06-EP	EFRATA	Padang	-0,948859	100,362892	M - 04	Pdt. Immanuel C. Nugroho	+62 812 8001 8376	4	0	
04-07-EF	EFRATA	Kuantan Sengingi	-0,519111	101,544661	M - 04	Pdt. Sonya Alvie Umkeketony, S.Si - Teol	+62 822 2701 2363	3	179	537
04-08-ED	EKKLESIA	Dumai	1,675895	101,456816	M - 04	Pdt. Sandino	+62 851 0155 3028			
04-09-GR	GIBEON	Rumbai Pekanbaru	0,581164	101,434948	M - 04	Pdt. Patricia Lisa Syaranamual, S.Th.	+62 822 8689 7979	3	125	450
04-11-KP	KASIH ABADI	Perawang Siak	0,672219	101,607353	M - 04					
