ID Pos	Nama Pos	Latitude	Longitude	Jumlah KK	Jumlah Jiwa	ID Jemaat	ID Pendeta
POS-13055	Parittiga	-1,667224105	105,5068368	27	84	02-01-BM	PDT-19060024
POS-23592	Cupat	-1,587579125	105,6097496	8	25	02-01-BM	PDT-19060024
POS-88231	Pos pelkes Bethel binusan			26	80	24-06-SN	PDT-51107295
POS-88016	Pos Pelkes Immanuel Bambangan 			11	30	24-06-SN	PDT-51107295
POS-55936	Alfa & Omega Nanga Tayap	-1,430606	110,5656006	33	71	20-04-EK	PDT-21159377
POS-52126						20-04-EK	
POS-57228	Exaudia Muara Bulian	-1,714815094	103,2989237	28	94	05-01-IJ	PDT-87216948
POS-78047	PT. GAN	-0,162066927	109,7164287	8	19	20-24-PJ	PDT-43300681
POS-94346	Kasih Karunia Kandis		0,9255837, 101,2399923	13	36	04-04-BZ	PDT-86990096
POS-56609	Kasih Karunia Libo			7		04-04-BZ	PDT-86990096
POS-23848	Pos Pelkes Secanggang	3,8188134	98,4869117	11	34	01-01-AP	PDT-70501119
POS-56943	Agape babulu	-1,521885129	116,4146006	15	50	22-08-MB	PDT-32299530
POS-25763	Ekklesia penajam	-1,348046604	116,6706421	28	123	22-08-MB	PDT-32299530
POS-81917	"Pos Pelkes ""Eben Haezer"" Tripariq Makmur, Long Hubung"	0,33123323	115,4870991	26	99	23-03-ET	PDT-41915346
POS-16368	"Pos Pelkes ""Bukit Moria"" Selesung"	0,395488	110,3137081	43	163	20-11-SS	PDT-82603338
POS-50712	Bethesda Tonda	0,940497214	118,9381182	44	176	23-08-PS	PDT-37549598
POS-42271	Pos Pelkes Teluk Kelapa	0,528137976	103,2221163	13	57	03-05-ET	PDT-26374165
POS-34421	Pos Pelkes Tanjung Medan 	0,529796695	103,1495483	11	42	03-05-ET	PDT-26374165
POS-22291	Efrata	0,892412638	100,3565513	7	19	04-10-IP	PDT-92486233
POS-79937	Maranatha	0,792331475	100,3807185	23	100	04-10-IP	PDT-92486233
POS-37858	Paulus Wonosobo	-5,494598	104,531486	14	51	06-03-IM	PDT-37149792
POS-54277	Bethlehem Baturuguk	-5,280159	104,711941	37	75	06-03-IM	PDT-37149792
POS-47744	Pospelkes Immanuel Tj Medang			27	65	04-08-ED	PDT-21939323
POS-81640	Pospelkes Maranatha Sei Pakning			13	59	04-08-ED	PDT-64020785
POS-54609	Pospelkes Solafide Selat Panjang			11	36	04-08-ED	PDT-64020785
POS-75205	Pos Pelkes Semoi Sepaku	-0,909697947	116,8735995	15	42	22-07-KK	PDT-59711512
POS-16608	Bajem Wonobakti	-4,280337	105,522193	51	153	06-13-MK	PDT-87046457
POS-56473	Purwosari	-5,225025089	105,2560354	22	69	06-05-MA	PDT-39429573
POS-60853	Natar	-5,31022635	105,1909093	13	44	06-05-MA	PDT-39429573
POS-67801	Pos Pelkes Alfa-Omega Sarawak-Malaysia	1,235266229	110,7905041	183	386	20-15-BA	PDT-30098900
POS-82867	Pos Pelkes Bubung Merege Punti Tapau	0,924231007	110,3232401	119	367	20-15-BA	PDT-30098900
POS-24806	Pos Pelkes Remin Tempak Sontas	0,952109389	110,3600843	27	90	20-15-BA	
POS-58644	Efratha Kaliampu			13	40	20-05-IT	PDT-66495066
POS-25545	Ekklesia Suka Damai			27	77	20-05-IT	PDT-66495066
POS-92535	Maranatha Natai Panjang			27	74	20-05-IT	PDT-66495066
POS-43938	Bajem Bukit Zaitun	-2,9925181	119,4088998	75	259	19-14-PB	PDT-77965490
POS-94852	Pos Pelkes Kasih Karunia Bagan Manunggal	Jl. Air Bersih No.1	P96P+6W, Bagan Manunggal, Bagan Sinembah, Rokan Hilir Regency, Riau 21464, Indonesia	42	155	04-08-ED	PDT-57362747
POS-17113	Pos Pelkes Sambi	-7,478378904	110,6987085	39	103	16-10-PS	PDT-29286934
POS-27157	PosPelkes Air Hidup Setogor	0,7244078	110,4730949	47	187	20-08-MI	PDT-91423016
POS-58999	PosPelkes Roti Hidup Munyau	0,794406	110,4580044	17	57	20-08-MI	PDT-91423016
POS-78262	Bajem Sion Sei Rokan			52	177	04-08-ED	PDT-94436290
POS-69672	Jangkang	-2,920633263	107,8710786	25	115	02-04-IT	PDT-19375058
POS-39676	SUMBER KASIH TANJUNG AGUNG	2,717675	117,516141	4	14	24-05-MT	PDT-34532604
POS-26959	EFRAT SAJAU	2,686685	117,575185	30	105	24-05-MT	PDT-34532604
POS-55766	Pos Pelkes Maranatha	-1,5846468	101,2601448	36	158	04-06-EP	PDT-34880669
POS-93187	Beth Eden	-4,0918889	122,3764797	9	23	19-17-SK	PDT-70567471
POS-39582	Zebaoth	-4,0146994	122,0370314	9	23	19-17-SK	PDT-70567471
POS-93631	Bukit Zaitun	-3,7905249	122,0181375	3	6	19-17-SK	PDT-70567471
POS-79335	Pos Pelkes Anugerah Sempuat	1,1873137	109,3640059	32	109	20-12-SK	PDT-32051258
POS-43988	Pos Pelkes Maranatha Karangan	1,1972375	109,351462	19	57	20-12-SK	PDT-32051258
POS-15217	Bajem Kembangsari	-7,388630417	110,5132931	75	180	16-14-TS	PDT-48212443
POS-58201	Pos Pel Kalimangli	-7,272795927	110,5007344	20	61	16-14-TS	PDT-48212443
POS-29929	Pos PelKes Lembah Silo Gunung Seriang	2,80438468	117,373371	21	73	24-05-MT	PDT-56844638
POS-85526	Pos PelKes Tiberias Selimau	2,855962605	117,41795	22	76	24-05-MT	PDT-56844638
POS-70892	Pos Pelkes Lempake	-0,428136629	117,1851767	42	133	23-02-ES	PDT-97921792
POS-17296	Sola Fide Carik	-2,100578699	110,6408215	53	167	20-02-BM	PDT-74312933
POS-92343	"Pos Pelkes ""Kanaan"" Blambangan Umpu"	-4,508695458	104,4680736	11	40	06-07-PE	PDT-26671820
POS-33478	"Pos Pelkes ""Emaus"" Gedung Harapan"	-4,411161364	104,6242246	33	95	06-07-PE	PDT-26671820
POS-17861	"""KANAAN"" Barong Tongkok"	-0,249473	115,702925	30	70	23-02-ES	PDT-84971611
POS-95078	Kalam Hidup, Entubah	0,841190362	110,4069512	49	157	20-08-MI	PDT-84597888
POS-36023	Bajem Getsemani	-1,944346917	103,0895055	25	75	05-01-AJ	PDT-99170588
POS-71267	Bajem Shalom	-2,040032237	103,0809377	34	90	05-01-AJ	PDT-99170588
POS-32914	Pos Pelkes Bukit Moria Tabalar	1,811294	117,867623	35	85	24-08-SI	PDT-92176638
POS-65842	Bajem Immanuel Lipat Gunting	-2,35652512	111,0205025	45	180	20-22-BZ	PDT-63921098
POS-58666	Pos Pelkes Bukit Moria Kuala Asam	-2,416041505	111,0302171	25	80	20-22-BZ	PDT-63921098
POS-10631	Pos Pelkes Syalom Batu Leman	-2,415859197	111,0413857	35	100	20-22-BZ	PDT-63921098
POS-16012						20-22-BZ	
POS-41565	Pospelkes Immanuel sesulung	-2,494065	116,5131557	28	80	21-04-IK	PDT-39185836
POS-58102	Gunung Sinai	-3,178505	115,977448	36	132	21-06-SB	PDT-34353889
POS-18578	Pos Pelkes Immanuel Kayungo Sari	-1,5335791	116,1912896	10	35	22-10-SK	PDT-80027321
POS-10552	Pos Pelkes Batu Tinggi Celengan			33	132	20-21-S	PDT-61800733
POS-50367	Pos Pelkes Kasih Karunia - Riam Kusik			40	120	20-21-S	PDT-61800733
POS-44209	Pos Pelkese Batu Tinggi, Celengan			33	132	20-21-S	PDT-22062148
POS-81077	Aras Tamiang Bakung	-2,829379	116,200963	18	67	21-06-SB	PDT-99011520
POS-48853	Pos Pelkes Anugerah Sanggau Ledo			12	42	20-19-S	PDT-65727337
POS-25425	pos Pelkes Sion Elok Asam			55	167	20-19-S	PDT-65727337
